prospect_id,full_name,title,seniority_tier,seniority_mult,company,is_mql,is_opp,is_closed_won,pipeline_value,touch_number,channel,campaign_name,utm_source,utm_medium,utm_campaign,utm_content,utm_term,timestamp,form_type
PRO-00001,Elliot Nguyen,Analytics Engineer,ic_analyst,0.75,Syncflow,False,False,False,0,1,linkedin,LI-ENT-Awareness-DataPipeline,linkedin,paid-social,li_ent_awareness_datapipeline,single-image_pain-point_cta-demo,li-ent-data-engineers,2025-02-24T16:05:00,gated_content_download
PRO-00001,Elliot Nguyen,Analytics Engineer,ic_analyst,0.75,Syncflow,False,False,False,0,2,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_competitor,streamlink-vs-syncflow,2025-03-11T17:01:00,newsletter_signup
PRO-00002,Hayden Walker,Analytics Engineer,ic_analyst,0.75,Syncflow,False,False,False,0,1,linkedin,LI-ABM-Strategic-ENT,linkedin,paid-social,li_abm_strategic_ent,single-image_thought-leadership_cta-learn-more,li-ent-data-engineers,2025-06-24T12:09:00,gated_content_download
PRO-00002,Hayden Walker,Analytics Engineer,ic_analyst,0.75,Syncflow,False,False,False,0,2,google,GGL-NonBrand-DataPipeline,google,paid-search,ggl_nonbrand_datapipeline,text-ad_search,streamlink-vs-syncflow,2025-07-02T13:54:00,newsletter_signup
PRO-00002,Hayden Walker,Analytics Engineer,ic_analyst,0.75,Syncflow,False,False,False,0,3,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_social-proof_cta-learn-more,li-ent-data-engineers,2025-07-10T14:05:00,gated_content_download
PRO-00003,Morgan Walker,BI Analyst,ic_analyst,0.75,Vaultbase,True,False,False,0,1,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_thought-leadership_cta-download,li-ent-data-engineers,2025-07-07T10:23:00,newsletter_signup
PRO-00003,Morgan Walker,BI Analyst,ic_analyst,0.75,Vaultbase,True,False,False,0,2,linkedin,LI-MOFU-Trial-AnalyticsTeams,linkedin,paid-social,li_mofu_trial_analyticsteams,single-image_product-feature_cta-demo,li-retarget-site-visitors-30d,2025-07-16T16:46:00,demo_request
PRO-00004,Sage Miller,Data Engineer,ic_analyst,0.75,Onyx Intelligence,False,False,False,0,1,linkedin,LI-ENT-Awareness-DataIntegration,linkedin,paid-social,li_ent_awareness_dataintegration,single-image_thought-leadership_cta-learn-more,li-mid-analytics-directors,2025-01-17T13:25:00,newsletter_signup
PRO-00004,Sage Miller,Data Engineer,ic_analyst,0.75,Onyx Intelligence,False,False,False,0,2,linkedin,LI-ENT-Awareness-DataIntegration,linkedin,paid-social,li_ent_awareness_dataintegration,single-image_thought-leadership_cta-download,li-abm-strategic-accounts,2025-01-30T15:09:00,gated_content_download
PRO-00005,Casey Jackson,Chief Data Officer,c_suite_vp,1.5,Ironset,True,True,False,172227,1,google,GGL-Competitor-Streamlink-Alt,google,paid-search,ggl_competitor_streamlink_alt,text-ad_search,data-integration-platform,2025-03-20T10:50:00,gated_content_download
